Indicators,Year,Value,Province
Consumption of Coal(10000 tons),2022,,Liaoning
Consumption of Coke(10000 tons),2022,,Liaoning
Consumption of Electricity(100 million kwh),2022,2551,Liaoning
Gross Regional Product(100 million yuan),2022,28826.1,Liaoning
Investment in Energy Industry(100 million yuan),2022,,Liaoning
Investment in Coal Gas and Coal Products Industry(100 million yuan),2022,,Liaoning
Investment Completed in the Treatment of Industrial Pollution(10000 yuan),2022,46202,Liaoning
Investment Completed in the Treatment of Waste Gas(10000 yuan),2022,27286,Liaoning
Sulphur Dioxide Emission in Waste Gas(10000 tons),2022,13.05,Liaoning
PM2.5 index,2022,31,Liaoning
Local Governments Expenditure Environmental Protection(100 million yuan),2022,75.21,Liaoning
Consumption of Coal(10000 tons),2021,,Liaoning
Consumption of Coke(10000 tons),2021,,Liaoning
Consumption of Electricity(100 million kwh),2021,2576,Liaoning
Gross Regional Product(100 million yuan),2021,27569.5,Liaoning
Investment in Energy Industry(100 million yuan),2021,,Liaoning
Investment in Coal Gas and Coal Products Industry(100 million yuan),2021,,Liaoning
Investment Completed in the Treatment of Industrial Pollution(10000 yuan),2021,120759,Liaoning
Investment Completed in the Treatment of Waste Gas(10000 yuan),2021,94691,Liaoning
Sulphur Dioxide Emission in Waste Gas(10000 tons),2021,16.33,Liaoning
PM2.5 index,2021,33.07,Liaoning
Local Governments Expenditure Environmental Protection(100 million yuan),2021,80.39,Liaoning
Consumption of Coal(10000 tons),2020,,Liaoning
Consumption of Coke(10000 tons),2020,,Liaoning
Consumption of Electricity(100 million kwh),2020,2423,Liaoning
Gross Regional Product(100 million yuan),2020,25011.4,Liaoning
Investment in Energy Industry(100 million yuan),2020,,Liaoning
Investment in Coal Gas and Coal Products Industry(100 million yuan),2020,,Liaoning
Investment Completed in the Treatment of Industrial Pollution(10000 yuan),2020,98020,Liaoning
Investment Completed in the Treatment of Waste Gas(10000 yuan),2020,20832,Liaoning
Sulphur Dioxide Emission in Waste Gas(10000 tons),2020,20.64,Liaoning
PM2.5 index,2020,36.02,Liaoning
Local Governments Expenditure Environmental Protection(100 million yuan),2020,97.94,Liaoning
Consumption of Coal(10000 tons),2019,18710.78,Liaoning
Consumption of Coke(10000 tons),2019,3348.65,Liaoning
Consumption of Electricity(100 million kwh),2019,2401,Liaoning
Gross Regional Product(100 million yuan),2019,24855.3,Liaoning
Investment in Energy Industry(100 million yuan),2019,,Liaoning
